row_index,customerID,column,original_value,corrupted_value,issue_type,expected_action
3271,3902-FOIGH,Partner,Yes, Yes,leading/trailing whitespace,auto
2965,1591-NFNLQ,Partner,No,No ,leading/trailing whitespace,auto
1796,2474-LCNUE,Partner,Yes, Yes ,leading/trailing whitespace,auto
1133,3156-QLHBO,Partner,No, No,leading/trailing whitespace,auto
4174,3285-UCQVC,Partner,No, No ,leading/trailing whitespace,auto
4042,5404-GGUKR,Partner,No, No ,leading/trailing whitespace,auto
744,1635-FJFCC,Partner,No, No ,leading/trailing whitespace,auto
6191,8495-PRWFH,Partner,No, No,leading/trailing whitespace,auto
385,4895-TMWIR,Partner,Yes, Yes ,leading/trailing whitespace,auto
898,4315-MURBD,Partner,No, No ,leading/trailing whitespace,auto
1252,7617-EYGLW,Partner,No,No ,leading/trailing whitespace,auto
4969,2303-PJYHN,Contract,Month-to-month, Month-to-month,leading/trailing whitespace,auto
3466,9430-NKQLY,Contract,Two year, Two year ,leading/trailing whitespace,auto
1735,2040-XBAVJ,Contract,Two year, Two year ,leading/trailing whitespace,auto
4417,0515-YPMCW,Contract,Month-to-month,Month-to-month ,leading/trailing whitespace,auto
6187,0224-NIJLP,Contract,Two year, Two year ,leading/trailing whitespace,auto
5979,2675-IJRGJ,Contract,Two year,Two year ,leading/trailing whitespace,auto
5651,4471-KXAUH,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
1647,5442-XSDCW,Contract,Month-to-month, Month-to-month,leading/trailing whitespace,auto
5840,1534-OULXE,Contract,One year, One year ,leading/trailing whitespace,auto
2553,9137-NOQKA,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
3268,6778-EICRF,Contract,One year, One year ,leading/trailing whitespace,auto
5502,3755-JBMNH,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
5323,1448-CYWKC,Contract,One year, One year ,leading/trailing whitespace,auto
3059,7503-EPSZW,Contract,Two year,Two year ,leading/trailing whitespace,auto
3588,9643-YBLUR,Contract,Month-to-month,Month-to-month ,leading/trailing whitespace,auto
4239,6481-LXPWL,Contract,One year, One year ,leading/trailing whitespace,auto
3698,7346-MEDWM,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
991,8361-LBRDI,Contract,Two year,Two year ,leading/trailing whitespace,auto
2030,3090-LETTY,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
1840,6990-YNRIO,Contract,Two year, Two year ,leading/trailing whitespace,auto
524,8397-MVTAZ,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
2769,5577-OTWWW,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
172,6727-IOTLZ,Contract,Two year, Two year ,leading/trailing whitespace,auto
4819,0607-DAAHE,Contract,Two year,Two year ,leading/trailing whitespace,auto
4537,1100-DDVRV,Contract,Month-to-month,Month-to-month ,leading/trailing whitespace,auto
1885,7217-JYHOQ,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
4820,5641-DMBFJ,Contract,Two year, Two year,leading/trailing whitespace,auto
1804,6016-LVTJQ,Contract,Month-to-month, Month-to-month,leading/trailing whitespace,auto
58,3957-SQXML,Contract,Two year,Two year ,leading/trailing whitespace,auto
581,3627-FHKBK,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
5798,4548-SDBKE,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
5169,7105-BENQF,Contract,One year, One year ,leading/trailing whitespace,auto
482,4612-SSVHJ,Contract,Month-to-month, Month-to-month ,leading/trailing whitespace,auto
1875,9637-CDTKZ,Contract,Two year, Two year ,leading/trailing whitespace,auto
552,2075-PUEPR,Contract,Two year,Two year ,leading/trailing whitespace,auto
6423,0480-KYJVA,PaymentMethod,Credit card (automatic), Credit card (automatic) ,leading/trailing whitespace,auto
6431,3266-FTKHB,PaymentMethod,Mailed check,Mailed check ,leading/trailing whitespace,auto
3727,9057-SIHCH,PaymentMethod,Electronic check, Electronic check ,leading/trailing whitespace,auto
2336,3211-ILJTT,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
3465,2831-EBWRN,PaymentMethod,Electronic check,Electronic check ,leading/trailing whitespace,auto
5706,5196-SGOAK,PaymentMethod,Electronic check,Electronic check ,leading/trailing whitespace,auto
5984,9185-TQCVP,PaymentMethod,Electronic check, Electronic check ,leading/trailing whitespace,auto
6417,9776-CLUJA,PaymentMethod,Electronic check,Electronic check ,leading/trailing whitespace,auto
4552,1385-TQOZW,PaymentMethod,Credit card (automatic),Credit card (automatic) ,leading/trailing whitespace,auto
5422,3563-SVYLG,PaymentMethod,Credit card (automatic),Credit card (automatic) ,leading/trailing whitespace,auto
5885,0269-XFESX,PaymentMethod,Mailed check, Mailed check ,leading/trailing whitespace,auto
3986,6242-FEGFD,PaymentMethod,Mailed check,Mailed check ,leading/trailing whitespace,auto
1268,2408-TZMJL,PaymentMethod,Electronic check, Electronic check ,leading/trailing whitespace,auto
1555,9651-GTSAQ,PaymentMethod,Bank transfer (automatic),Bank transfer (automatic) ,leading/trailing whitespace,auto
2430,1821-BUCWY,PaymentMethod,Mailed check, Mailed check ,leading/trailing whitespace,auto
1783,8380-PEFPE,PaymentMethod,Electronic check, Electronic check,leading/trailing whitespace,auto
479,6227-HWPWX,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
4744,6139-ZZRBQ,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
6027,4896-CPRPF,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
4441,4825-FUREZ,PaymentMethod,Electronic check, Electronic check,leading/trailing whitespace,auto
499,7783-YKGDV,PaymentMethod,Bank transfer (automatic),Bank transfer (automatic) ,leading/trailing whitespace,auto
6127,6198-PNNSZ,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
2569,8237-ULIXL,PaymentMethod,Credit card (automatic),Credit card (automatic) ,leading/trailing whitespace,auto
468,8896-RAZCR,PaymentMethod,Mailed check, Mailed check,leading/trailing whitespace,auto
410,0334-GDDSO,PaymentMethod,Electronic check,Electronic check ,leading/trailing whitespace,auto
4785,8854-CCVSQ,PaymentMethod,Electronic check,Electronic check ,leading/trailing whitespace,auto
3905,5759-RCVCB,PaymentMethod,Credit card (automatic), Credit card (automatic),leading/trailing whitespace,auto
4119,6016-NXBNJ,PaymentMethod,Mailed check, Mailed check ,leading/trailing whitespace,auto
6985,6967-PEJLL,PaymentMethod,Electronic check, Electronic check ,leading/trailing whitespace,auto
4350,1518-OMDIK,PaymentMethod,Credit card (automatic), Credit card (automatic) ,leading/trailing whitespace,auto
1289,9968-FFVVH,PaymentMethod,Bank transfer (automatic),Bank transfer (automatic) ,leading/trailing whitespace,auto
465,2996-XAUVF,PaymentMethod,Mailed check,Mailed check ,leading/trailing whitespace,auto
4160,5049-MUBWG,PaymentMethod,Bank transfer (automatic), Bank transfer (automatic) ,leading/trailing whitespace,auto
656,8100-PNJMH,PaymentMethod,Credit card (automatic),Credit card (automatic) ,leading/trailing whitespace,auto
6974,0422-UXFAP,PaymentMethod,Electronic check, Electronic check ,leading/trailing whitespace,auto
6931,2371-KFUOG,gender,Male,male,case inconsistency,auto
416,4686-GEFRM,gender,Male,male,case inconsistency,auto
756,5730-DBDSI,gender,Male,male,case inconsistency,auto
5196,0786-IVLAW,gender,Female,female,case inconsistency,auto
3469,9402-ORRAH,gender,Female,female,case inconsistency,auto
6794,1047-RNXZV,gender,Male,male,case inconsistency,auto
2266,5732-IKGQH,gender,Male,male,case inconsistency,auto
361,5229-DTFYB,gender,Female,female,case inconsistency,auto
29,8773-HHUOZ,gender,Female,female,case inconsistency,auto
2732,9929-PLVPA,gender,Female,female,case inconsistency,auto
6317,7493-TPUWZ,gender,Male,male,case inconsistency,auto
1071,3097-NNSPB,gender,Female,female,case inconsistency,auto
5219,3976-NLDEZ,gender,Male,male,case inconsistency,auto
2145,1391-UBDAR,gender,Male,male,case inconsistency,auto
1323,4565-NLZBV,gender,Female,female,case inconsistency,auto
6072,3387-PLKUI,gender,Female,female,case inconsistency,auto
3619,6479-VDGRK,gender,Female,female,case inconsistency,auto
4519,0103-CSITQ,gender,Female,female,case inconsistency,auto
5780,1722-LDZJS,gender,Male,male,case inconsistency,auto
3503,9821-BESNZ,gender,Male,male,case inconsistency,auto
4594,4658-HCOHW,gender,Female,female,case inconsistency,auto
79,3887-PBQAO,gender,Female,female,case inconsistency,auto
916,3956-CJUST,gender,Female,female,case inconsistency,auto
616,6464-KEXXH,Partner,No,no,case inconsistency,auto
5660,1121-QSIVB,Partner,No,no,case inconsistency,auto
1221,3055-MJDSB,Partner,No,no,case inconsistency,auto
4469,6893-ODYYE,Partner,No,no,case inconsistency,auto
295,8203-XJZRC,Partner,No,no,case inconsistency,auto
6837,6229-LSCKB,Partner,No,no,case inconsistency,auto
3024,8735-NBLWT,Partner,No,no,case inconsistency,auto
4771,1678-FYZOW,Partner,No,no,case inconsistency,auto
4526,4860-IJUDE,Partner,No,no,case inconsistency,auto
1213,6980-IMXXE,Partner,Yes,yes,case inconsistency,auto
3520,6036-TTFYU,Partner,Yes,yes,case inconsistency,auto
1044,3354-OADJP,Partner,No,no,case inconsistency,auto
342,7520-HQWJU,Partner,Yes,yes,case inconsistency,auto
2525,3133-PZNSR,Partner,Yes,yes,case inconsistency,auto
2987,3769-MHZNV,Partner,Yes,yes,case inconsistency,auto
6521,1092-WPIVQ,Partner,Yes,yes,case inconsistency,auto
326,5701-YVSVF,Partner,Yes,yes,case inconsistency,auto
2931,8059-UDZFY,Partner,No,no,case inconsistency,auto
1720,6407-UTSLV,Partner,No,no,case inconsistency,auto
5587,1707-HABPF,Partner,No,no,case inconsistency,auto
2044,2550-QHZGP,Partner,No,no,case inconsistency,auto
5463,6142-VSJQO,Partner,Yes,yes,case inconsistency,auto
842,1038-ZAGBI,Partner,Yes,yes,case inconsistency,auto
2897,8234-GSZYK,Dependents,No,no,case inconsistency,auto
6390,6994-FGRHH,Dependents,Yes,yes,case inconsistency,auto
4586,7569-NMZYQ,Dependents,Yes,yes,case inconsistency,auto
3329,5366-OBVMR,Dependents,No,no,case inconsistency,auto
5084,8966-OIQHG,Dependents,Yes,yes,case inconsistency,auto
6139,3039-MJSLN,Dependents,Yes,yes,case inconsistency,auto
1266,1251-STYSZ,Dependents,No,no,case inconsistency,auto
1939,8267-KFGYD,Dependents,Yes,yes,case inconsistency,auto
1331,7537-RBWEA,Dependents,No,no,case inconsistency,auto
6552,9317-WZPGV,Dependents,No,no,case inconsistency,auto
6641,2810-FTLEM,Dependents,No,no,case inconsistency,auto
1450,1735-XMJVH,Dependents,Yes,yes,case inconsistency,auto
3377,2696-RZVZW,Dependents,No,no,case inconsistency,auto
203,7018-WBJNK,Dependents,Yes,yes,case inconsistency,auto
1469,5394-SVGJV,Dependents,No,no,case inconsistency,auto
6033,6595-YGXIT,Dependents,No,no,case inconsistency,auto
2721,8225-BTJAU,Dependents,No,no,case inconsistency,auto
6409,3653-NCRDJ,Dependents,Yes,yes,case inconsistency,auto
3372,2883-ILGWO,Dependents,No,no,case inconsistency,auto
6571,2188-SXWVT,Dependents,No,no,case inconsistency,auto
5487,5519-TEEUH,Dependents,Yes,yes,case inconsistency,auto
6021,3752-CQSJI,Dependents,Yes,yes,case inconsistency,auto
2032,3753-TSEMP,Dependents,No,no,case inconsistency,auto
2185,7619-ODSGN,PhoneService,Yes,yes,case inconsistency,auto
1304,8519-IMDHU,PhoneService,Yes,yes,case inconsistency,auto
6450,4609-KNNWG,PhoneService,Yes,yes,case inconsistency,auto
5744,1371-WEPDS,PhoneService,Yes,yes,case inconsistency,auto
885,4661-NJEUX,PhoneService,Yes,yes,case inconsistency,auto
3133,3181-VTHOE,PhoneService,No,no,case inconsistency,auto
317,2321-OMBXY,PhoneService,Yes,yes,case inconsistency,auto
7033,9767-FFLEM,PhoneService,Yes,yes,case inconsistency,auto
3855,7691-KGKGP,PhoneService,Yes,yes,case inconsistency,auto
1822,4911-BANWH,PhoneService,Yes,yes,case inconsistency,auto
1634,9995-HOTOH,PhoneService,No,no,case inconsistency,auto
6689,8561-NMTBD,PhoneService,Yes,yes,case inconsistency,auto
3770,5821-MMEIL,PhoneService,Yes,yes,case inconsistency,auto
2864,1564-HJUVY,PhoneService,Yes,yes,case inconsistency,auto
2500,0679-TDGAK,PhoneService,Yes,yes,case inconsistency,auto
6721,6898-RBTLU,PhoneService,Yes,yes,case inconsistency,auto
6515,7016-BPGEU,PhoneService,No,no,case inconsistency,auto
1864,7105-MXJLL,PhoneService,Yes,yes,case inconsistency,auto
1826,6908-VVYHM,PhoneService,Yes,yes,case inconsistency,auto
193,9680-NIAUV,PhoneService,Yes,yes,case inconsistency,auto
5406,9715-WZCLW,PhoneService,Yes,yes,case inconsistency,auto
1582,5127-BZENZ,PhoneService,Yes,yes,case inconsistency,auto
3264,6818-DJXAA,PhoneService,Yes,yes,case inconsistency,auto
2689,8628-MFKAX,PaperlessBilling,Yes,yes,case inconsistency,auto
2282,1587-FKLZB,PaperlessBilling,Yes,yes,case inconsistency,auto
568,0939-YAPAF,PaperlessBilling,Yes,yes,case inconsistency,auto
6335,7798-JVXYM,PaperlessBilling,Yes,yes,case inconsistency,auto
2286,1465-LNTLJ,PaperlessBilling,Yes,yes,case inconsistency,auto
2876,6746-WAUWT,PaperlessBilling,Yes,yes,case inconsistency,auto
5255,8486-AYEQH,PaperlessBilling,Yes,yes,case inconsistency,auto
4173,7858-GTZSP,PaperlessBilling,Yes,yes,case inconsistency,auto
3274,2874-YXVVA,PaperlessBilling,Yes,yes,case inconsistency,auto
5566,2302-OUZXB,PaperlessBilling,No,no,case inconsistency,auto
6911,0508-SQWPL,PaperlessBilling,Yes,yes,case inconsistency,auto
4392,3373-YZZYM,PaperlessBilling,No,no,case inconsistency,auto
2712,5133-VRSAB,PaperlessBilling,No,no,case inconsistency,auto
226,6341-JVQGF,PaperlessBilling,Yes,yes,case inconsistency,auto
944,6353-BRMMA,PaperlessBilling,Yes,yes,case inconsistency,auto
2139,8160-HOWOX,PaperlessBilling,Yes,yes,case inconsistency,auto
1462,9824-QCJPK,PaperlessBilling,No,no,case inconsistency,auto
4756,9518-IMLHK,PaperlessBilling,Yes,yes,case inconsistency,auto
2174,1178-PZGAB,PaperlessBilling,No,no,case inconsistency,auto
313,2799-ARNLO,PaperlessBilling,Yes,yes,case inconsistency,auto
888,0048-LUMLS,PaperlessBilling,No,no,case inconsistency,auto
4887,9184-GALIL,PaperlessBilling,No,no,case inconsistency,auto
3559,5171-EPLKN,PaperlessBilling,No,no,case inconsistency,auto
2831,2454-RPBRZ,Churn,Yes,yes,case inconsistency,auto
5968,9033-EOXWV,Churn,Yes,yes,case inconsistency,auto
6442,0254-WWRKD,Churn,No,no,case inconsistency,auto
2569,8237-ULIXL,Churn,No,no,case inconsistency,auto
3574,4634-JLRJT,Churn,No,no,case inconsistency,auto
4966,3097-IDVPU,Churn,No,no,case inconsistency,auto
4189,7103-ZGVNT,Churn,No,no,case inconsistency,auto
947,9904-EHEVJ,Churn,No,no,case inconsistency,auto
3155,4962-CHQPW,Churn,No,no,case inconsistency,auto
4723,4274-OWWYO,Churn,Yes,yes,case inconsistency,auto
1557,4672-FOTSD,Churn,No,no,case inconsistency,auto
2086,2955-BJZHG,Churn,Yes,yes,case inconsistency,auto
363,5176-LMJXE,Churn,No,no,case inconsistency,auto
5806,7854-EKTJL,Churn,Yes,yes,case inconsistency,auto
3572,1730-ZMAME,Churn,No,no,case inconsistency,auto
13,0280-XJGEX,Churn,Yes,yes,case inconsistency,auto
4259,1087-UDSIH,Churn,Yes,yes,case inconsistency,auto
6606,6518-LGAOV,Churn,Yes,yes,case inconsistency,auto
4410,0848-ZGQIJ,Churn,No,no,case inconsistency,auto
5626,2458-EOMRE,Churn,No,no,case inconsistency,auto
5893,3549-ZTMNH,Churn,No,no,case inconsistency,auto
6078,9691-HKOVS,Churn,No,no,case inconsistency,auto
6037,7537-CBQUZ,Churn,No,no,case inconsistency,auto
5493,0196-VULGZ,Churn,Yes,yes,case inconsistency,auto
1614,3813-DHBBB,Churn,No,no,case inconsistency,auto
2983,4674-HGNUA,gender,Male,None,null-token inconsistency,auto
3533,4318-RAJVY,gender,Female,None,null-token inconsistency,auto
573,4710-FDUIZ,gender,Male,NA,null-token inconsistency,auto
5441,3512-IZIKN,gender,Female,None,null-token inconsistency,auto
2704,9640-ZSLDC,gender,Female,NA,null-token inconsistency,auto
5104,1328-EUZHC,gender,Female,None,null-token inconsistency,auto
2571,8216-AZUUZ,gender,Female,NULL,null-token inconsistency,auto
5434,9921-EZKBY,gender,Male,NULL,null-token inconsistency,auto
6946,9013-AQORL,gender,Female,NA,null-token inconsistency,auto
1020,1452-XRSJV,gender,Female,NA,null-token inconsistency,auto
5548,4589-IUAJB,Partner,Yes,None,null-token inconsistency,auto
6128,3317-VLGQT,Partner,Yes,None,null-token inconsistency,auto
1425,7077-XJMET,Partner,Yes,NULL,null-token inconsistency,auto
5042,1561-BWHIN,Partner,Yes,NA,null-token inconsistency,auto
4662,4018-KJYUY,Partner,No,None,null-token inconsistency,auto
2465,1740-CSDJP,Partner,No,NA,null-token inconsistency,auto
3326,7657-DYEPJ,Partner,No,NA,null-token inconsistency,auto
4488,3714-JTVOV,Partner,Yes,NA,null-token inconsistency,auto
6829,8148-WOCMK,Partner,Yes,NULL,null-token inconsistency,auto
3,7795-CFOCW,Partner,No,NA,null-token inconsistency,auto
6502,6103-QCKFX,Dependents,Yes,None,null-token inconsistency,auto
6521,1092-WPIVQ,Dependents,Yes,N/A,null-token inconsistency,auto
6028,1871-MOWRM,Dependents,No,NULL,null-token inconsistency,auto
1390,8039-ACLPL,Dependents,Yes,None,null-token inconsistency,auto
5397,2379-ENZGV,Dependents,No,NULL,null-token inconsistency,auto
694,2682-KEVRP,Dependents,No,NULL,null-token inconsistency,auto
2324,2774-LVQUS,Dependents,No,NULL,null-token inconsistency,auto
4222,6480-YAGIY,Dependents,No,N/A,null-token inconsistency,auto
5438,0727-IWKVK,Dependents,No,N/A,null-token inconsistency,auto
5185,3021-VLNRJ,Dependents,Yes,NULL,null-token inconsistency,auto
3892,3824-RHKVR,OnlineSecurity,No internet service,NA,null-token inconsistency,auto
5007,7407-SUJIZ,OnlineSecurity,No internet service,NA,null-token inconsistency,auto
6961,8155-IBNHG,OnlineSecurity,No,NA,null-token inconsistency,auto
6295,7033-CLAMM,OnlineSecurity,No internet service,NULL,null-token inconsistency,auto
596,8208-EUMTE,OnlineSecurity,Yes,NULL,null-token inconsistency,auto
3730,6771-XWBDM,OnlineSecurity,No,N/A,null-token inconsistency,auto
3395,6794-HKIAJ,OnlineSecurity,Yes,N/A,null-token inconsistency,auto
5159,5928-QLDHB,OnlineSecurity,No,NA,null-token inconsistency,auto
4715,7508-DQAKK,OnlineSecurity,Yes,NULL,null-token inconsistency,auto
1592,8387-MOJJT,OnlineSecurity,No,NULL,null-token inconsistency,auto
6587,7426-GSWPO,TechSupport,No,NULL,null-token inconsistency,auto
5700,3312-ZWLGF,TechSupport,Yes,NA,null-token inconsistency,auto
4243,9362-MWODR,TechSupport,Yes,None,null-token inconsistency,auto
3805,8644-XLFBW,TechSupport,No,NA,null-token inconsistency,auto
411,4163-NCJAK,TechSupport,No internet service,NA,null-token inconsistency,auto
4566,8375-KVTHK,TechSupport,Yes,NA,null-token inconsistency,auto
2041,3546-GHEAE,TechSupport,No internet service,NULL,null-token inconsistency,auto
6949,3648-GZPHF,TechSupport,Yes,NA,null-token inconsistency,auto
994,7277-KAMWT,TechSupport,No internet service,NA,null-token inconsistency,auto
3739,5789-LDFXO,TechSupport,No internet service,None,null-token inconsistency,auto
6158,3845-FXCYS,Contract,Month-to-month,NULL,null-token inconsistency,auto
2025,1488-PBLJN,Contract,Two year,None,null-token inconsistency,auto
6880,6976-BWGLQ,Contract,Two year,NA,null-token inconsistency,auto
5223,1241-EZFMJ,Contract,Two year,N/A,null-token inconsistency,auto
2271,0093-EXYQL,Contract,Month-to-month,None,null-token inconsistency,auto
6273,4342-HENTK,Contract,Month-to-month,NULL,null-token inconsistency,auto
6370,2869-ADAWR,Contract,Month-to-month,None,null-token inconsistency,auto
4270,2167-FQSTQ,Contract,Two year,None,null-token inconsistency,auto
3969,2920-RNCEZ,Contract,Month-to-month,None,null-token inconsistency,auto
5134,8010-EZLOU,Contract,Month-to-month,N/A,null-token inconsistency,auto
1133,3156-QLHBO,gender,Male,Mlae,high-confidence category spelling typo,auto
1235,1543-LLLFT,gender,Male,Mlae,high-confidence category spelling typo,auto
1894,9281-PKKZE,gender,Female,Femlae,high-confidence category spelling typo,auto
3137,4567-AKPIA,gender,Female,Femlae,high-confidence category spelling typo,auto
5684,0193-ESZXP,gender,Female,Femlae,high-confidence category spelling typo,auto
1251,7595-EUIVN,gender,Female,Femlae,high-confidence category spelling typo,auto
5786,8661-BOYNW,gender,Female,Femlae,high-confidence category spelling typo,auto
1752,7801-CEDNV,gender,Male,Mlae,high-confidence category spelling typo,auto
526,8606-CIQUL,gender,Male,Mlae,high-confidence category spelling typo,auto
3398,3096-WPXBT,gender,Female,Femlae,high-confidence category spelling typo,auto
3339,8690-ZVLCL,gender,Female,Femlae,high-confidence category spelling typo,auto
2710,3594-BDSOA,gender,Female,Femlae,high-confidence category spelling typo,auto
4445,3134-DSHVC,gender,Female,Femlae,high-confidence category spelling typo,auto
3816,4304-XUMGI,gender,Male,Mlae,high-confidence category spelling typo,auto
3406,6447-EGDIV,gender,Female,Femlae,high-confidence category spelling typo,auto
510,4332-MUOEZ,Partner,Yes,Yse,high-confidence category spelling typo,auto
1694,0375-HVGXO,Partner,No,N0,high-confidence category spelling typo,auto
6823,7009-LGECI,Partner,No,N0,high-confidence category spelling typo,auto
3441,4086-ATNFV,Partner,Yes,Yse,high-confidence category spelling typo,auto
3190,3745-HRPHI,Partner,Yes,Yse,high-confidence category spelling typo,auto
6306,0186-CAERR,Partner,No,N0,high-confidence category spelling typo,auto
4784,1622-HSHSF,Partner,No,N0,high-confidence category spelling typo,auto
5697,1984-FCOWB,Partner,Yes,Yse,high-confidence category spelling typo,auto
160,8992-VONJD,Partner,No,N0,high-confidence category spelling typo,auto
7018,1122-JWTJW,Partner,Yes,Yse,high-confidence category spelling typo,auto
6271,6726-WEXXK,Partner,Yes,Yse,high-confidence category spelling typo,auto
4716,5176-OLSKT,Partner,Yes,Yse,high-confidence category spelling typo,auto
3116,9391-DXGGG,Partner,No,N0,high-confidence category spelling typo,auto
3907,2139-FQHLM,Partner,No,N0,high-confidence category spelling typo,auto
48,7639-LIAYI,Partner,No,N0,high-confidence category spelling typo,auto
2881,4003-OCTMP,Dependents,No,N0,high-confidence category spelling typo,auto
2446,9492-TOKRI,Dependents,No,N0,high-confidence category spelling typo,auto
6172,6379-RXJRQ,Dependents,No,N0,high-confidence category spelling typo,auto
3194,6397-JNZZG,Dependents,No,N0,high-confidence category spelling typo,auto
6991,3585-ISXZP,Dependents,No,N0,high-confidence category spelling typo,auto
6846,6618-RYATB,Dependents,No,N0,high-confidence category spelling typo,auto
3432,8174-TBVCF,Dependents,No,N0,high-confidence category spelling typo,auto
4409,5227-JSCFE,Dependents,No,N0,high-confidence category spelling typo,auto
6123,0623-EJQEG,Dependents,No,N0,high-confidence category spelling typo,auto
